Año,Mes,Día,Hora,Minuto,Segundo,pm25,calidad_pm25,calidad
2021,01,11,06,00,00,11.7739,1,1,
2021,01,11,07,00,00,23.5165,1,1,
2021,01,11,08,00,00,9.4336,1,1,
2021,01,11,09,00,00,9.5302,1,1,
2021,01,11,10,00,00,6.0040,1,1,
2021,01,11,11,00,00,7.2720,1,1,
2021,01,11,12,00,00,3.6325,1,1,
2021,01,11,13,00,00,6.1062,1,1,
2021,01,11,14,00,00,11.0505,1,1,
2021,01,11,15,00,00,7.3662,1,1,
2021,01,11,16,00,00,3.6777,1,1,
2021,01,11,17,00,00,0.0000,1,1,
2021,01,11,18,00,00,3.6129,1,1,
2021,01,11,19,00,00,13.1685,1,1,
2021,01,11,20,00,00,14.3137,1,1,
2021,01,11,21,00,00,21.3988,1,1,
2021,01,11,22,00,00,21.3967,1,1,
2021,01,11,23,00,00,26.1003,1,1,
2021,01,12,00,00,00,24.9271,1,1,
2021,01,12,01,00,00,11.8582,1,1,
2021,01,12,02,00,00,16.5889,1,1,
2021,01,12,03,00,00,17.7579,1,1,
2021,01,12,04,00,00,16.5579,1,1,
2021,01,12,05,00,00,15.3694,1,1,
2021,01,12,06,00,00,16.5523,1,1,
2021,01,12,07,00,00,10.6414,1,1,
2021,01,12,08,00,00,27.3403,1,1,
2021,01,12,09,00,00,14.3898,1,1,
2021,01,12,10,00,00,20.5401,1,1,
2021,01,12,11,00,00,10.9464,1,1,
2021,01,12,12,00,00,7.3174,1,1,
2021,01,12,13,00,00,11.0298,1,1,
2021,01,12,14,00,00,8.6319,1,1,
2021,01,12,15,00,00,7.3998,1,1,
2021,01,12,16,00,00,0.5000,1,1,
2021,01,12,17,00,00,6.1557,1,1,
2021,01,12,18,00,00,2.4280,1,1,
2021,01,12,19,00,00,7.2327,1,1,
2021,01,12,20,00,00,5.9977,1,1,
2021,01,12,21,00,00,7.1689,1,1,
2021,01,12,22,00,00,7.1605,1,1,
2021,01,12,23,00,00,5.9521,1,1,
2021,01,13,00,00,00,30.8440,1,1,
2021,01,13,01,00,00,30.8564,1,1,
2021,01,13,02,00,00,21.3697,1,1,
2021,01,13,03,00,00,21.3591,1,1,
2021,01,13,04,00,00,20.1504,1,1,
2021,01,13,05,00,00,18.8972,1,1,
2021,01,13,06,00,00,28.2972,1,1,
2021,01,13,07,00,00,28.2920,1,1,
2021,01,13,08,00,00,30.8426,1,1,
2021,01,13,09,00,00,23.9229,1,1,
2021,01,13,10,00,00,20.5290,1,1,
2021,01,13,11,00,00,20.6768,1,1,
2021,01,13,12,00,00,19.5871,1,1,
2021,01,13,13,00,00,11.1055,1,1,
2021,01,13,14,00,00,12.3974,1,1,
2021,01,13,15,00,00,7.4443,1,1,
2021,01,13,16,00,00,4.9553,1,1,
2021,01,13,17,00,00,4.9191,1,1,
2021,01,13,18,00,00,6.1012,1,1,
2021,01,13,19,00,00,3.6308,1,1,
2021,01,13,20,00,00,4.8188,1,1,
2021,01,13,21,00,00,4.7985,1,1,
2021,01,13,22,00,00,4.7892,1,1,
2021,01,13,23,00,00,9.5580,1,1,
2021,01,14,00,00,00,10.7295,1,1,
2021,01,14,01,00,00,25.0138,1,1,
2021,01,14,02,00,00,19.0581,1,1,
2021,01,14,03,00,00,26.1788,1,1,
2021,01,14,04,00,00,29.7149,1,1,
2021,01,14,05,00,00,34.4046,1,1,
2021,01,14,06,00,00,28.4084,1,1,
2021,01,14,07,00,00,33.0888,1,1,
2021,01,14,08,00,00,33.2897,1,1,
2021,01,14,09,00,00,19.2182,1,1,
2021,01,14,10,00,00,15.6954,1,1,
2021,01,14,11,00,00,18.2295,1,1,
2021,01,14,12,00,00,15.9013,1,1,
2021,01,14,13,00,00,14.7289,1,1,
2021,01,14,14,00,00,17.2837,1,1,
2021,01,14,15,00,00,14.8505,1,1,
2021,01,14,16,00,00,7.4206,1,1,
2021,01,14,17,00,00,3.6816,1,1,
2021,01,14,18,00,00,6.0899,1,1,
2021,01,14,19,00,00,8.4567,1,1,
2021,01,14,20,00,00,8.4226,1,1,
2021,01,14,21,00,00,8.3978,1,1,
2021,01,14,22,00,00,11.9619,1,1,
2021,01,14,23,00,00,11.9403,1,1,
2021,01,15,00,00,00,17.8496,1,1,
2021,01,15,01,00,00,21.3896,1,1,
2021,01,15,02,00,00,37.9265,1,1,
2021,01,15,03,00,00,41.4742,1,1,
2021,01,15,04,00,00,34.3087,1,1,
2021,01,15,05,00,00,27.1926,1,1,
2021,01,15,06,00,00,31.9313,1,1,
2021,01,15,07,00,00,42.5625,1,1,
2021,01,15,08,00,00,17.8941,1,1,
2021,01,15,09,00,00,24.0404,1,1,
2021,01,15,10,00,00,21.7899,1,1,
2021,01,15,11,00,00,10.9515,1,1,
2021,01,15,12,00,00,12.2280,1,1,
2021,01,15,13,00,00,7.3737,1,1,
2021,01,15,14,00,00,12.3664,1,1,
2021,01,15,15,00,00,9.9125,1,1,
2021,01,15,16,00,00,8.6034,1,1,
2021,01,15,17,00,00,7.3197,1,1,
2021,01,15,18,00,00,13.3606,1,1,
2021,01,15,19,00,00,7.2414,1,1,
2021,01,15,20,00,00,8.4166,1,1,
2021,01,15,21,00,00,10.7754,1,1,
2021,01,15,22,00,00,11.9315,1,1,
2021,01,15,23,00,00,8.3356,1,1,
2021,01,16,00,00,00,7.1292,1,1,
2021,01,16,01,00,00,17.7761,1,1,
2021,01,16,02,00,00,24.8277,1,1,
2021,01,16,03,00,00,25.9470,1,1,
2021,01,16,04,00,00,32.9639,1,1,
2021,01,16,05,00,00,34.1031,1,1,
2021,01,16,06,00,00,40.0267,1,1,
2021,01,16,07,00,00,38.8338,1,1,
2021,01,16,08,00,00,22.5511,1,1,
2021,01,16,09,00,00,26.3488,1,1,
2021,01,16,10,00,00,16.9133,1,1,
2021,01,16,11,00,00,14.5845,1,1,
2021,01,16,12,00,00,18.3118,1,1,
2021,01,16,13,00,00,15.9473,1,1,
2021,01,16,14,00,00,18.4990,1,1,
2021,01,16,15,00,00,18.5105,1,1,
